[2018-04-11 15:47:29,735][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 15:48:29,833][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 15:48:55,654][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 15:53:02,974][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 15:55:20,007][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 15:56:14,540][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 15:58:50,758][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 15:59:32,508][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 16:00:14,499][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 16:01:32,950][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 16:04:24,387][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 16:07:29,233][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 16:07:41,589][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 16:08:16,371][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 16:08:59,955][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 16:09:40,346][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 16:10:02,399][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 16:10:55,495][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 18:30:46,912][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
[2018-04-11 18:33:45,327][Thread-10][WARN][org.springframework.beans.factory.support.DisposableBeanAdapter:347] Invocation of destroy method 'close' failed on bean with name 'sqlSessionTemplate': java.lang.UnsupportedOperationException: Manual close is not allowed over a Spring managed SqlSession
[2018-04-11 18:34:04,233][main][WARN][org.thymeleaf.templatemode.TemplateMode:150] [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
